cost,minutes
5148.410000000001,2108552.63
5102.420000000001,2099150.6200000006
5315.340000000001,2139827.959999999
5117.39,2099748.300000001
5291.33,2139014.0899999994
5130.39,2105842.3299999977
5122.89,2101589.5
5164.89,2112525.4099999983
5121.410000000001,2100565.9700000016
5283.350000000001,2135336.3600000013
5234.370000000001,2129675.329999998
5212.900000000001,2125544.5099999993
5173.390000000001,2114045.500000001
5284.840000000001,2138124.099999999
5258.84,2135299.0499999993
5181.89,2119846.5299999947
5249.87,2131858.780000002
5199.91,2121456.23
5178.88,2116252.17
5123.900000000001,2102806.9999999967
4997.410000000002,2123557.8700000024
5002.890000000001,2126534.820000003
4998.890000000001,2124954.160000003
5136.330000000001,2157250.019999998
5008.4,2135589.320000003
5022.43,2139640.490000004
5017.910000000001,2136103.230000004
4976.940000000001,2121639.2000000025
4973.9400000000005,2117767.550000003
5059.430000000001,2145617.6100000036
5084.85,2151272.899999998
5114.34,2152657.410000001
5134.84,2155703.6599999988
5058.910000000001,2145571.0700000003
5048.92,2145255.610000001
5121.3600000000015,2152748.1299999994
5133.370000000001,2153173.5
5064.910000000001,2147881.0300000026
5082.39,2151111.050000001
5029.900000000001,2139955.9500000034
5043.870000000001,2140485.4400000027
5346.970000000002,2135528.0899999985
5307.000000000002,2128386.3899999955
5346.990000000002,2137773.839999998
5269.040000000001,2117297.8299999963
5374.950000000002,2141155.7699999977
5393.950000000001,2142382.569999998
5365.960000000003,2141120.8099999987
5345.960000000002,2135093.849999997
5384.930000000002,2141444.169999999
5362.950000000002,2139437.8499999978
5345.960000000001,2134777.4399999976
5358.950000000003,2138760.5899999985
5309.020000000002,2129845.499999997
5297.030000000001,2128338.939999998
5316.490000000001,2130681.489999996
5336.970000000001,2133557.829999998
5289.990000000002,2117472.009999997
5392.950000000002,2141705.3099999987
5316.990000000002,2130727.079999997
5320.990000000002,2131457.419999997
5344.980000000001,2133963.869999996
5358.950000000001,2137984.6599999974
5290.480000000001,2122971.129999998
5310.000000000002,2130667.0199999977
5345.460000000002,2134077.009999996
5330.780000000001,2172371.7300000046
5341.76,2174549.0600000056
5320.8,2169454.5700000036
5286.800000000001,2138851.120000004
5308.810000000001,2168858.4500000044
5358.250000000001,2175002.5200000033
5359.740000000001,2176583.730000005
5389.190000000001,2178356.660000004
5290.83,2147438.720000003
5307.790000000001,2164771.8100000024
5299.83,2159106.400000002
5295.820000000001,2152878.650000001
5290.85,2152641.560000001
5419.6900000000005,2178680.6300000027
5376.180000000001,2035822.149999996
5419.5700000000015,2037515.0299999984
5318.530000000002,2141138.6200000015
5362.01,2145350.260000001
5278.050000000001,2139165.1700000004
5276.530000000001,2136453.9400000004
